id,updatefor,status,zonaloffice,company,incidentnumber,incidentdate,reportdate,contaminant,estimatedquantity,quantityrecovered,spillstopdate,typeoffacility,cause,initialcontainmentmeasures,sitelocationname,latitude,longitude,lga,estimatedspillarea,spillareahabitat,descriptionofimpact,statesaffected,attachments,formadate,formbdate,formcdate,jivdate,jivpresent,cleanupdate,cleanupcompleteddate,cleanupmethods,postcleanupinspectiondate,postimpactassessmentdate,remediationstart,remediationend,remediationtype,finalsamplingdate,finallabresultsdate,certificatedate,certificatenumber,lastupdatedby
5895,,confirmed,,SPDC,2007_00301,2007-01-17,,,,,,,,,"CAWC W 37L FL",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5896,,confirmed,,SPDC,2007_00027,2007-01-20,,,,,,,,,"18"" Soku-Buguma @ Bitekpo",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5897,5897,confirmed,,SPDC,2007_00019,2007-01-21,,cr,35,,,,sab,,"14"" OKORDIA-ADIBAWA T/L",,,,,la,,BY,[],,,,2007-01-23,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000485,"NOSDRA, 2014-12-23 AB009"
5898,,confirmed,,SPDC,,2007-01-22,,cr,650,,,,sab,,"14'' OKORDIA RUMUEKPE IKARAMA",,,,,sw,,BY,,,,,2007-06-28,,,,,,,,,,,,,,NOSDRA
5899,,confirmed,,SPDC,2007_00028,2007-01-22,,cr,650,,,,sab,,"14"" OKORDIA-RUMUEKPE T/L AT IKARAMA",,,,,sw,,BY,,,,,2007-06-28,,,,,,,,,,,,,,NOSDRA
5900,,confirmed,,SPDC,2007_00031,2007-01-26,,cr,,,,,sab,,"8"" ISIMIRI D/L ""OBUZO",,,,,la,,AB,,,,,2007-01-27,,,,,,,,,,,,,,NOSDRA
5901,,confirmed,,SPDC,2007_00030,2007-01-27,,cr,165,,,,sab,,"6"" OBIGBO-OGALE AT KOMKOM",,,,,la,,RI,,,,,2007-01-28,,,,,,,,,,,,,,NOSDRA
5902,5902,confirmed,wa,SPDC,,2007-01-28,2007-01-28,cr,160,,,pl,sab,,"10"" OBEN AMUKPE T/L @ MOSOGAR. ETHIOPE WEST L.G.A., DELTA STATE.",5.8765331,5.7234219,Ethiope-West,,la,"BURNT VEGETATION WAS SIGHTED, THE SPILL WAS WITHIN AND OUTSIDE THE COMPANY'S RIGHT OF WAY.",DE,[],,,,2007-01-29,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-07-11 AB008"
5903,,confirmed,,SPDC,,2007-01-28,,CON,,,,,sab,,"WELL22/10"" SOKU CONDENSATION LINE",,,,,sw,,RI,,,,,2007-02-08,,,,,,,,,,,,,,NOSDRA
5904,,confirmed,,SPDC,2007_00054,2007-01-29,,,,,,,,,"Cawthorne Channel Well 42T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5905,,confirmed,,SPDC,2007_00053,2007-01-29,,,,,,,,,"Cawthorne Channel Well 8T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5906,5906,confirmed,wa,SPDC,,2007-01-30,2007-01-31,cr,0.006,,2007-02-02,pl,sab,,"10"" UTOROGU - UPS T/L AT OTU-JEREMI. UGHELLI SOUTH L.G.A., DELTA STATE.",5.3720639,5.8836917,Ughelli-South,,la,"NO SERIOUS IMPACT WAS SIGHTED AS AT THE TIME OF JOINT INVESTIGATION VISIT.",DE,[],2007-02-09,2007-02-12,,2007-02-01,"nosdra,mnstry,cmmnt,cmpny",2007-02-01,,MECHANICAL/MANUAL,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-06-25 AB008"
5907,,confirmed,,SPDC,2007_00038,2007-01-30,,,,,,,,,"Awoba North well 1 L FL",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5908,,confirmed,,SPDC,2007_00032,2007-01-30,,cr,3,,,,sab,,"8"" UMECHEM-OKPOKU P/L",,,,,la,,RI,,,,,2007-01-31,,,,,,,,,,,,,,NOSDRA
5909,,confirmed,,SPDC,2007_00034,2007-01-31,,,,,,,,,"Nembe Well 34 L",,,,,,,BY,,,,,,,,,,,,,,,,,,,NOSDRA
5910,,confirmed,,SPDC,2007_00035,2007-01-31,,,,,,,,,"Nembe Well 60L",,,,,,,BY,,,,,,,,,,,,,,,,,,,NOSDRA
5911,5911,confirmed,,SPDC,2007_00039,2007-02-04,,cr,3500,,,,sab,,"16"" NUNR-KOCR D/K",,,,,sw,,BY,[],,,,2007-05-16,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000570,"NOSDRA, 2015-02-03 AB008"
5912,,confirmed,,SPDC,2007_00040,2007-02-04,,cr,5,,,,eqf,,"AGBADA 2WELL 12L 4"" F/L",,,,,la,,RI,,,,,2007-02-16,,,,,,,,,,,,,,NOSDRA
5913,,confirmed,,SPDC,,2007-02-04,,gs,,,,,sab,,"AGBA-2W/297 2"" GASSHIFT LINE",,,,,la,,RI,,,,,2007-02-04,,,,,,,,,,,,,,NOSDRA
5914,,confirmed,,SPDC,2007_00042,2007-02-04,,gs,,,,,sab,,"AGBADA 2WELL 29T 2""GASLINE",,,,,la,,RI,,,,,2007-02-16,,,,,,,,,,,,,,NOSDRA
5915,,confirmed,,SPDC,2007_00044,2007-02-05,,cr,4,,,,cor,,"SANTA BABRA W/4S",,,,,sw,,RI,,,,,,,,,,,,,,,2009-11-06,,,,NOSDRA
5916,,confirmed,,SPDC,2007_00041,2007-02-05,,cr,42,,,,sab,,"8"" OBIGBO NORTH-NEW ELEME",,,,,la,,RI,,,,,2007-07-12,,,,,,,,,,2010-10-14,,,,NOSDRA
5917,,confirmed,,SPDC,2007_00043,2007-02-07,,cr,1,,,,eqf,,"WELL 4T ELENLEWON F/S",,,,,la,,RI,,,,,2007-02-09,,,,,,,,,,,,,,NOSDRA
5918,,confirmed,,SPDC,2007_00050,2007-02-09,,cr,8,,,,sab,,"SOKU WELL 48/S",,,,,la,,RI,,,,,2007-02-15,,,,,,,,,,,,,,NOSDRA
5919,,confirmed,,SPDC,2007_00052,2007-02-10,,,,,,,,,"SOKU W/31",,,,,sw,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5920,,confirmed,,SPDC,2007_00058,2007-02-14,,,,,,,,,"Umuechem  FS Well 9",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5921,,confirmed,,SPDC,2007_00051,2007-02-14,,,,,,,,,"Okordia Manifold",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5922,5922,confirmed,,SPDC,2007_00049,2007-02-15,,cr,250,,,,sab,,"24"" NKPOKU-BOMU@ALETO-ELETO",4.805917,7.106583,Eleme,,la,,RI,[],,,,2007-02-16,,,,,,,,,,2010-11-08,,2011-02-22,NOSDRA/RS/000587,"NOSDRA, 2015-02-03 AB008"
5923,,confirmed,,SPDC,2007_00056,2007-02-17,,cr,2,,,,sab,,"NUN RIVER 13T F/L@ANGIAMA",,,,,sw,,BY,,,,,2007-02-21,,,,,,,,,,,,,,NOSDRA
5924,,confirmed,,SPDC,2007_00055,2007-02-17,,,,,,,,,"Agbada 2 Flowstation Well 11T Flowline",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5925,5925,confirmed,,SPDC,2007_00059,2007-02-21,,,,,,,,,"10'' Diebu Creek - Nun River D/L @ Peremabiri",,,,,,,BY,[],,,,,,,,,,,,,,2011-03-30,,2013-02-11,"NOSDRA\RS\000925","NOSDRA, 2015-02-05 AB008"
5926,,confirmed,,SPDC,2007_00170,2007-02-25,,,,,,,,,"Soku W26T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5927,5927,confirmed,wa,SPDC,,2007-02-27,2007-02-28,,,,,pl,sab,,"10"" UTOROGU - UPS T/L AT IWHREKAN. UDU L.G.A., DELTA STATE.",5.4531389,5.8899531,Ughelli-South,,la,"THERE WAS NO IMPACT SIGHTED AS AT THE TIME OF JOINT INVESTIGATION.",DE,[],,,,2007-05-02,,,,,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-07-11 AB008"
5928,5928,confirmed,wa,SPDC,,2007-02-27,2007-02-28,CON,2,,,pl,sab,,"10"" OBEN  AMUKPE-RAPELE T/L  @ MOSOGAR. ETHIOPE WEST L.G.A., DELTA STATE.",5.8938311,5.7452639,Ethiope-West,,la,"OIL STAINED VEGETATION WAS SIGHTED, THE SPILL WAS WITHIN AND OUTSIDE THE COMPANY'S RIGHT OF WAY.",DE,[],,,,2007-03-02,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-06-25 AB008, 2019-07-11 AB008"
5929,,confirmed,,SPDC,2007_00060,2007-02-27,,,,,,,,,"Soku Cond Export Line",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5930,5930,confirmed,,SPDC,2007_00066,2007-02-28,,cr,3,,,,eqf,,"OBIGBO NORTH F/S",,,,,la,,RI,[],,,,2007-03-05,,,,,,,,,,,,2009-12-08,NOSDRA/RS/000338,"NOSDRA, 2016-01-11 AB014"
5931,,confirmed,,SPDC,2007_00065,2007-03-01,,,,,,,,,"Bonny Terminal @ Bonny Terminal",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5932,,confirmed,,SPDC,2007_00067,2007-03-02,,cr,1000,,,,cor,,"28"" T/L AT CAW-CHANNEL 1",,,,,sw,,RI,,,,,2007-03-16,,,,,,,,,,,,,,NOSDRA
5933,5933,confirmed,wa,SPDC,,2007-03-05,,CON,10,,,,sab,,"10'' OBEN - AMUKPE TRUNK LINE @ MOSOGAE",5.897739,5.749058,Ethiope-West,,la,,DE,[],,,,2007-08-05,,,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003"
5934,,confirmed,,SPDC,2007_00068,2007-03-05,,,,,,,,,"12"" Imo Riv-1-Ebubu T/L",,,,,,,AB,,,,,,,,,,,,,,,,,,,NOSDRA
5935,,confirmed,,SPDC,2007_00069,2007-03-05,,cr,38,,,,sab,,"14"" OKORDIA M/F@UKPELEDE",,,,,la,,RI,,,,,2007-03-06,,,,,,,,,,,,,,NOSDRA
5936,,confirmed,,SPDC,2007_00075,2007-03-10,,,,,,,,,"14"" Okordia-Rumuekpe T/L@ Akaramiri",,,,,,,BY,,,,,,,,,,,,,,,,,,,NOSDRA
5937,,confirmed,,SPDC,2007_00074,2007-03-10,,,,,,,,,"8"" Umuechem-Nkpoku D/L",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5938,5938,confirmed,wa,SPDC,,2007-03-12,2007-03-13,cr,0.0377,,,mf,eqf,"other:rubber bucket","ERIEMU MANIFOLD/BACKUP SAVER PIT",5.492103,6.120733,Isoko-North,,la,"The spill was within the company's right of way.",DE,[],,,,2007-03-13,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003, 2020-03-04 WA003"
5939,,confirmed,,SPDC,2007_00129,2007-03-16,,,,,,,,,"Nun River Manifold",,,,,,,BY,,,,,,,,,,,,,,,,,,,NOSDRA
5940,,confirmed,,SPDC,2007_00080,2007-03-16,,cr,200,,,,eqf,,"28"" KRAKAMA-CAWC MANIFOLD",,,,,sw,,RI,,,,,2007-03-21,,,,,,,,,,,,,,NOSDRA
5941,,confirmed,,SPDC,2007_00078,2007-03-17,,,,,,,,,"6"" Obigbo N-Ogale @ Umusoya",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5942,,confirmed,,SPDC,2007_00079,2007-03-18,,cr,30,,,,sab,,"20"" BUGUMA-ALAKIRI T/L ABIAMA",,,,,sw,,RI,,,,,2007-03-23,,,,,,,,,,,,,,NOSDRA
5943,,confirmed,,SPDC,2007_00084,2007-03-18,,cr,5000,,,,sab,,"20"" BUKUMA ALAKIRI T/L",,,,,,,RI,,,,,2007-07-04,,,,,,,,,,,,,,NOSDRA
5944,5944,confirmed,wa,SPDC,,2007-03-19,2007-03-19,CON,3,,2007-03-22,pl,sab,,"10"" UTOROGU - UPS T/L AT OTOR - EDO. UGHELLI SOUTH L.G.A., DELTA STATE.",5.473706,5.900061,Ughelli-South,,la,"OIL STAINED AND WITHERING VEGETATION WERE SIGHTED, THE SPILL WAS WITHIN AND OUTSIDE THE COMPANY'S RIGHT OF WAY.",DE,[],2007-03-22,2007-06-15,,2007-03-21,"nosdra,mnstry,cmmnt,cmpny",,,MECHANICAL/MANUAL,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-07-11 AB008"
5945,,confirmed,,SPDC,2007_00096,2007-03-22,,cr,37,,,,sab,,"10"" SOKU CONDENSATE D/L LINE AT SOKU",,,,,sw,,RI,,,,,2007-03-28,,,,,,,,,,,,,,NOSDRA
5946,,confirmed,,SPDC,2007_00302,2007-03-25,,,,,,,,,"Awoba Well 2T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5947,,confirmed,,SPDC,2007_00105,2007-03-27,,,,,,,,,"Mini Nta Well 2T Flow Line @ Mini Nta",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5948,,confirmed,,SPDC,2007_00091,2007-03-27,,,,,,,,,"Well 3L Well head @ Alakiri",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5949,,confirmed,,SPDC,2007_00095,2007-03-30,,cr,5,,,,sab,,"SOKU W 43 F/L",,,,,sw,,RI,,,,,2007-04-04,,,,,,,,,,,,,,NOSDRA
5950,5950,confirmed,,SPDC,2007_00098,2007-03-31,,,,,,,sab,,"Adibawa NE 6"" Bulkline",,,,,,,RI,[],,,,,,,,,,,2012-04-01,2012-05-31,,,,,,"NOSDRA, 2014-02-25 AB008"
5951,5951,confirmed,wa,SPDC,,2007-04-01,,cr,,,,,sab,,"JONES CREEK",,,,,of,,DE,[],,,,2007-04-01,,,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003"
5952,,confirmed,,SPDC,2007_00103,2007-04-01,,,,,,,,,"Oguta FS Gathering MF",,,,,,,IM,,,,,,,,,,,,,,,,,,,NOSDRA
5953,,confirmed,,SPDC,2007_00100,2007-04-01,,,,,,,,,"OGUTA F/S",,,,,,,IM,,,,,,,,,,,,,,,2009-07-16,,,,NOSDRA
5954,,confirmed,,SPDC,2007_00094,2007-04-02,,,,,,,,,"6"" NGC Aba - SPDC MF T/L @ Aba",,,,,,,AB,,,,,,,,,,,,,,,,,,,NOSDRA
5955,,confirmed,,SPDC,2007_00093,2007-04-02,,cr,70,,,,sab,,"12'' ADIBAWA - OKORDIA D/L",,,,,la,,RI,,,,,2007-06-19,,,,,,,,,,,,,,NOSDRA
5956,,confirmed,,SPDC,2007_00097,2007-04-04,,,,,,,,,"24"" Ogale Bomu T/L @ Egbalor",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5957,,confirmed,,SPDC,2007_00104,2007-04-04,,,,,,,,,"Adibawa well 16 T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5958,,confirmed,,SPDC,2007_00101,2007-04-05,,,,,,,,,"36"" Rum- Nkpoku T/L @ Nkpoku",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5959,,confirmed,,SPDC,2007_00303,2007-04-08,,,,,,,,,"CAWC W/37L",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5960,,confirmed,,SPDC,2007_00099,2007-04-08,,,,,,,,,"36"" Nkpoku- Ogale  T/L @ Atali",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5961,5961,confirmed,wa,SPDC,,2007-02-09,2007-02-09,cr,15,,,pl,sab,,"YOKRI FISHING CAMP. WARRI SOUTH-WEST, DELTA STATE.",5.489694,5.201111,Warri-South-West,,sw,"OIL STAINED FISHPOND AND VEGETATION WERE SIGHTED ALSO WITHERING VEGETATION WAS SIGHTED, THE SPILL WAS WITHIN AND OUTSIDE THE COMPANY'S RIGHT OF WAY.",DE,[],,,,2007-04-19,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-02-28 WA002, 2019-07-11 AB008"
5962,,confirmed,,SPDC,2007_00102,2007-04-10,,,,,,,,,"12 Oguta - Egbema D/Line @ Egbema",,,,,,,IM,,,,,,,,,,,,,,,,,,,NOSDRA
5963,5963,confirmed,,SPDC,2007_00106,2007-04-10,,cr,5,,,,sab,,"OGUTA-EGBEMA F/S",,,,,sw,,IM,[],,,,2007-04-11,,,,,,,,,,,,2013-02-11,"NOSDRA\RS\000926","NOSDRA, 2015-02-05 AB008"
5964,5964,confirmed,,SPDC,2007_00109,2007-04-10,,cr,2335,,,,cor,,"Oil Spill in Bonny Close to KC MF",,,,,,,RI,[],,,,,,,,,,,2010-09-01,2012-06-30,RENA,2012-05-14,,2014-03-13,003826,"NOSDRA, 2014-02-25 AB008, 2015-12-31 AB009"
5965,,confirmed,,SPDC,2007_00110,2007-04-10,,,,,,,,,"Well 1 L @ Santa Barbra",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5966,,confirmed,,SPDC,2007_00113,2007-04-10,,cr,20,,,,sab,,"SANTA BABRA W/1 SANTA BARBARA",,,,,sw,,RI,,,,,2007-04-14,,,,,,,,,,2009-11-06,,,,NOSDRA
5967,,confirmed,,SPDC,,2007-04-10,,cr,35,,,,cor,,"ADIBAWA NE",,,,,la,,RI,,,,,2007-04-11,,,,,,,,,,,,,,NOSDRA
5968,,confirmed,,SPDC,2007_00108,2007-04-12,,,,,,,,,"36"" Rum-Nkpoku T/L @ Aluu",,,,,,,RI,,,,,,,,,,,,,,,2011-07-18,,,,NOSDRA
5969,5969,confirmed,wa,SPDC,,2007-04-15,,CON,500,,,,sab,,"10'' OBEN AMUKPE T/L.",5.877417,5.726917,Ethiope-West,,la,"Vegetation and surface water were impacted, the spill was within and outside the company's right of way.",DE,[],,,,2007-04-17,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003, 2020-03-03 WA003"
5970,,confirmed,,SPDC,,2007-04-17,,cr,5000,,,,eqf,,"10"" KC TIE-IN M/F",,,,,sw,,RI,,,,,2007-04-20,,,,,,,,,,,,,,NOSDRA
5971,,confirmed,,SPDC,2007_00111,2007-04-18,,cr,35,,,,sab,,"14"" OKORDIA-RUMUEKPE T/L AT IDU-EKPEYE",,,,,la,,RI,,,,,2007-04-19,,,,,,,,,,,,,,NOSDRA
5972,,confirmed,,SPDC,,2007-04-19,,gs,,,,,sab,,"YORLA WELL 16",,,,,la,,RI,,,,,2007-05-10,,,,,,,,,,,,,,NOSDRA
5973,,confirmed,,SPDC,2007_00112,2007-04-21,,cr,12,,,,eqf,,"CAWC 3 WELL 43S",,,,,sw,,RI,,,,,2007-04-25,,,,,,,,,,,,,,NOSDRA
5974,5974,confirmed,,SPDC,2007_00126,2007-04-22,,cr,15,,,,sab,,"ADIBAWA NE 6"" BULK LINE",,,,,la,,RI,[],,,,2007-05-20,,,,,,,,,,2010-05-18,,2011-02-22,NOSDRA//RS/000505,"NOSDRA, 2015-02-02 AB009"
5975,5975,confirmed,wa,SPDC,,2007-04-23,,re,0.3145,,,,sab,,"OLOMORO-OLE WELLS 12,25,19,4,34,35 &8 FLOW LINES",5.455339,6.185833,Isoko-South,,la,,DE,[],,,,2007-04-23,,,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003"
5976,,confirmed,,SPDC,2007_00115,2007-04-23,,cr,30,,,,cor,,"AKASO WELL 9S",,,,,sw,,RI,,,,,2007-04-25,,,,,,,,,,,,,,NOSDRA
5977,,confirmed,,SPDC,2007_00147,2007-04-25,,,,,,,,,"18"" Soku -Buguma  @ Okporo Ama",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5978,,confirmed,,SPDC,2007_00148,2007-04-25,,,,,,,,,"18"" Soku -Buguma  @ Obono Ama",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5979,,confirmed,,SPDC,2007_00116,2007-04-25,,cr,2,,,,sab,,"18"" SOKU-BUGUMA T/L@LALA",,,,,sw,,RI,,,,,2007-06-24,,,,,,,,,,,,,,NOSDRA
5980,,confirmed,,SPDC,2007_00121,2007-04-26,,,,,,,,,"12"" Imo Riv-Ebubu  @ Imo River.",,,,,,,AB,,,,,,,,,,,,,,,,,,,NOSDRA
5981,5981,confirmed,,SPDC,2007_00120,2007-04-26,,cr,10,,,,eqf,,"10"" KC TIE-IN M/F AT BONNY",,,,,sw,,RI,[],,,,2007-04-28,,,,,,,2010-09-01,2012-06-30,RENA,,,,,"NOSDRA, 2014-02-25 AB008"
5982,,confirmed,,SPDC,2007_00117,2007-04-27,,,,,,,,,"20"" Rum-Nkpoku T/L @ Ibaa",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5983,,confirmed,,SPDC,2007_00119,2007-04-28,,,,,,,,,"18"" Assa - Rum  @ Mini Nta",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5984,5984,confirmed,wa,SPDC,,2007-04-29,2007-04-30,cr,5,,,st,sab,,"NORTHBANK PIGGING MANIFOLD AT OBOTOBO 2. BURUTU L.G.A., DELTA STATE.",5.5328581,5.8442031,Ughelli-South,,la,"OIL STAINED VEGETATION, FISHING NET AND SURFACE WATER WERE SIGHTED, THE SPILL WAS OUTSIDE THE COMPANY'S RIGHT OF WAY.",DE,[],,,,2007-05-04,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-03-03 WA002, 2019-07-11 AB008, 2020-03-04 WA003"
5985,,confirmed,,SPDC,2007_00122,2007-04-29,,,,,,,sab,,"OGUTA WELL 17S FL",,,,,,,IM,,,,,,,,,,,,,,,2009-10-22,,,,NOSDRA
5986,,confirmed,,SPDC,2007_00123,2007-04-29,,,,,,,sab,,"OGUTA WELL 27L FL",,,,,,,IM,,,,,,,,,,,,,,,2009-10-22,,,,NOSDRA
5987,5987,confirmed,wa,SPDC,,2007-04-30,2007-04-30,cr,0.5,,,fl,sab,bm,"Well 40T AT OTUMARA. WARRI SOUTH-WEST L.G.A., DELTA STATE.",5.6572919,5.1504439,Warri-South-West,,sw,"OIL STAINED SOIL WAS SIGHTED, THE SPILL WAS WITHIN THE COMPANY'S RIGHT OF WAY.",DE,[],2007-05-03,,,2007-05-09,"nosdra,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-03-07 WA002, 2019-07-11 AB008"
5988,,confirmed,,SPDC,2007_00124,2007-04-30,,cr,3,,,,sab,,"OGUTA W/20 L/S",,,,,la,,IM,,,,,2007-05-04,,,,,,,,,,,,,,NOSDRA
5989,5989,confirmed,,SPDC,2007_00125,2007-04-30,,cr,10,,,,sab,,"AGBADA 2 WELL 30",,,,,la,,RI,[],,,,2007-05-03,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000476,"NOSDRA, 2014-12-22 AB009"
5990,,confirmed,,SPDC,2007_00128,2007-05-01,,cr,2000,,,,sab,,"WELL 1 F/L AT SOKU",4.644306,6.608278,"Akuku Toru",,sw,,RI,,,,,2007-05-07,,,,,,,,,,,,,,NOSDRA
5991,5991,confirmed,,SPDC,2007_00136,2007-05-01,,cr,10,,,,sab,,"8"" UMUECHEM-NKPOKU D/L",,,,,la,,RI,[],,,,2007-05-01,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000460,"NOSDRA, 2016-01-05 AB009"
5992,,confirmed,,SPDC,2007_00133,2007-05-02,,,,,,,,,"Awoba Well 2T",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
5993,,confirmed,,SPDC,2007_00137,2007-05-02,,cr,2,,,,sab,,"28"" NKPOKU-BOMU T/L AT AKPAJO",,,,,la,,RI,,,,,2007-05-03,,,,,,,,,,,,,,NOSDRA
5994,,confirmed,,SPDC,2007_00273,2007-05-03,,cr,5,,,,sab,,"W8 WELLHEAD ETELEBUO",,,,,la,,RI,,,,,2007-08-08,,,,,,,,,,,,,,NOSDRA
5995,,confirmed,,SPDC,2007_00275,2007-05-03,,cr,,,,,eqf,,"W7 WELLHEAD ETELEBUO",,,,,la,,RI,,,,,2007-08-08,,,,,,,,,,,,,,NOSDRA
5996,5996,confirmed,wa,SPDC,,2007-05-05,2007-05-05,cr,0.5,,,fs,eqf,bm,"ESCRAVOS BEACH FLOW STATION",5.533867,5.193739,Warri-South-West,,sw,,DE,[],,,,2007-05-05,"nosdra,cmpny,cmmnt",,,,,,,,,,,,,"NOSDRA, 2019-06-10 WA003, 2020-03-04 WA003"
5997,5997,confirmed,,SPDC,2007_00135,2007-05-05,,cr,30,,,,sab,,"DIEBU CRK W/13T AT ANGIAMA",,,,,sw,,BY,[],,,,2007-11-23,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000486,"NOSDRA, 2014-12-23 AB009"
5998,,confirmed,,SPDC,2007_00152,2007-05-09,,cr,6,,,,sab,,"18""SOKU-BUGUMA T/L@KIOKIME",,,,,sw,,RI,,,,,2007-06-22,,,,,,,,,,,,,,NOSDRA
5999,5999,confirmed,wa,SPDC,,2007-10-05,2007-10-06,CON,0.06,,,pl,eqf,,"24"" AMUKPE - RAPELE T/L. ORERE-OLUBA. OKPE L.G.A., DELTA STATE.",5.646283,5.717039,Okpe,,sw,"SPILL WAS WITHIN THE COMPANY'S RIGHT OF WAY.",DE,[],,,,2007-12-31,"nosdra,mnstry,cmmnt,cmpny",,,,,,,,,,,,,"NOSDRA, 2014-03-12 WA002, 2014-03-13 WA002, 2019-06-25 AB008"
6000,,confirmed,,SPDC,,2007-05-10,,cr,151,,,,sab,,"16"" NUNRIVER-KOLO CREEK",,,,,sw,,BY,,,,,2007-09-19,,,,,,,,,,2009-11-05,,,,NOSDRA
6001,6001,confirmed,,SPDC,2007_00141,2007-05-10,,cr,755,,,,sab,,"16 NUN RIVER - KOLOCREEK",,,,,sw,,BY,[],,,,2007-09-08,,,,,,,,,,2009-11-05,,2011-02-22,NOSDRA//RS/000506,"NOSDRA, 2015-02-02 AB009"
6002,6002,confirmed,,SPDC,2007_00140,2007-05-10,,cr,15,,,,sab,,"18"" RUMUEKPE T/L AT EGBEDA",,,,,la,,RI,[],,,,2007-05-11,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000479,"NOSDRA, 2014-12-22 AB009"
6004,,confirmed,,SPDC,2007_00158,2007-05-11,,cr,,,,,eqf,,"IMO RIVER W44 F/L",,,,,sw,,AB,,,,,2007-05-23,,,,,,,,,,,,,,NOSDRA
6005,6005,confirmed,,SPDC,2007_00144,2007-05-12,,cr,10,,,,eqf,,"24"" NKPOKU-BOMU TNP AT BARALUE",4.732,7.260722,Tai,,la,,RI,[],,,,2007-05-13,,,,,,,,,,,,2011-02-22,NOSDRA/RS/000470,"NOSDRA, 2016-01-05 AB009"
6006,,confirmed,,SPDC,2007_00157,2007-05-14,,cr,400,,,,sab,,"10"" DIEBU CRK-NUNRIVER AT ENOWARI",,,,,sw,,BY,,,,,2007-07-25,,,,,,,,,,,,,,NOSDRA
6007,,confirmed,,SPDC,2007_00156,2007-05-14,,cr,,,,,sab,,"10"" DIEBU CRK-NUNRIVER AT ONYOMA",,,,,sw,,BY,,,,,2007-05-23,,,,,,,,,,,,,,NOSDRA
6008,,confirmed,,SPDC,2007_00143,2007-05-14,,,,,,,,,"20"" Rum-Nkpoku T/L @ Ibaa",,,,,,,RI,,,,,,,,,,,,,,,,,,,NOSDRA
6009,,confirmed,,SPDC,2007_00154,2007-05-14,,cr,1,,,,sab,,"36"" NKPOKU-OGALE TNP AT ELELEWON",,,,,la,,RI,,,,,2007-05-15,,,,,,,,,,2010-10-14,,,,NOSDRA
